Closing_price,Highest_price,Last_Modified,Number_of_transactions,Opening_price,Securities_abbreviation,Securities_code,Transaction_date,currency,market,minimum_price,price_limit,trading_volume,ups_downs
23.75,23.75,"Sun, 06 Oct 2024 01:12:57 GMT",28445479,21.5,君亭酒店,301073-SZE,2024-09-30,CNY,SZE,20.3,20.0101,631710476.64,3.96
20.87,21.5,"Sun, 06 Oct 2024 01:12:57 GMT",4175667,19.0,多瑞医药,301075-SZE,2024-09-30,CNY,SZE,18.74,12.994,83281148.24,2.4
19.99,20.46,"Sun, 06 Oct 2024 01:12:57 GMT",8213648,18.96,新瀚新材,301076-SZE,2024-09-30,CNY,SZE,18.04,12.4297,158377703.41,2.21
20.38,20.64,"Sun, 06 Oct 2024 01:12:57 GMT",4481792,18.2,星华新材,301077-SZE,2024-09-30,CNY,SZE,18.12,14.2377,86797974.96,2.54
9.32,9.32,"Sun, 06 Oct 2024 01:12:57 GMT",92546126,8.14,孩子王,301078-SZE,2024-09-30,CNY,SZE,8.1,19.9485,818821936.79,1.55
17.57,18.21,"Sun, 06 Oct 2024 01:12:57 GMT",18598625,16.0,邵阳液压,301079-SZE,2024-09-30,CNY,SZE,15.4,14.4625,308199476.68,2.22
42.3,42.84,"Sun, 06 Oct 2024 01:12:57 GMT",4960250,38.51,百普赛斯,301080-SZE,2024-09-30,CNY,SZE,38.2,13.5266,200326855.2,5.04
8.3,8.38,"Sun, 06 Oct 2024 01:12:57 GMT",6711147,7.66,严牌股份,301081-SZE,2024-09-30,CNY,SZE,7.48,13.388,53156083.9,0.98
10.18,10.36,"Sun, 06 Oct 2024 01:12:57 GMT",15692432,9.45,久盛电气,301082-SZE,2024-09-30,CNY,SZE,9.06,13.1111,152222453.2,1.18
14.51,14.75,"Sun, 06 Oct 2024 01:12:57 GMT",9593947,13.26,百胜智能,301083-SZE,2024-09-30,CNY,SZE,12.92,14.4322,132399194.22,1.83
55.78,55.81,"Sun, 06 Oct 2024 01:12:57 GMT",8875576,48.36,亚康股份,301085-SZE,2024-09-30,CNY,SZE,48.36,19.8281,459937230.67,9.23
42.55,43.32,"Sun, 06 Oct 2024 01:12:57 GMT",3750261,38.5,鸿富瀚,301086-SZE,2024-09-30,CNY,SZE,37.76,14.1363,151830498.15,5.27
39.97,40.0,"Sun, 06 Oct 2024 01:12:57 GMT",4391923,36.58,可孚医疗,301087-SZE,2024-09-30,CNY,SZE,36.5,12.814,168817310.99,4.54
12.9,13.2,"Sun, 06 Oct 2024 01:12:57 GMT",5663841,11.9,戎美股份,301088-SZE,2024-09-30,CNY,SZE,11.65,11.9792,70097666.41,1.38
34.89,35.29,"Sun, 06 Oct 2024 01:12:57 GMT",9468361,32.25,拓新药业,301089-SZE,2024-09-30,CNY,SZE,31.2,14.1315,315985018.06,4.32
7.97,8.2,"Sun, 06 Oct 2024 01:12:57 GMT",43239267,7.21,华润材料,301090-SZE,2024-09-30,CNY,SZE,7.05,14.3472,326986595.46,1.0
37.27,37.5,"Sun, 06 Oct 2024 01:12:57 GMT",32252847,33.0,深城交,301091-SZE,2024-09-30,CNY,SZE,32.29,16.9072,1121531023.89,5.39
24.88,25.33,"Sun, 06 Oct 2024 01:12:57 GMT",3770864,22.83,争光股份,301092-SZE,2024-09-30,CNY,SZE,22.33,13.0395,90233057.79,2.87
24.74,24.99,"Sun, 06 Oct 2024 01:12:57 GMT",4285572,22.34,华兰股份,301093-SZE,2024-09-30,CNY,SZE,22.34,12.968,102185463.4,2.84
49.5,49.5,"Sun, 06 Oct 2024 01:12:57 GMT",9408007,43.5,广立微,301095-SZE,2024-09-30,CNY,SZE,43.2,19.3059,433193325.17,8.01
47.86,47.86,"Sun, 06 Oct 2024 01:12:57 GMT",9378314,42.8,百诚医药,301096-SZE,2024-09-30,CNY,SZE,41.34,17.7078,417176191.6,7.2
42.7,42.95,"Sun, 06 Oct 2024 01:12:57 GMT",2009218,38.5,天益医疗,301097-SZE,2024-09-30,CNY,SZE,38.31,11.634,81817270.43,4.45
9.01,9.13,"Sun, 06 Oct 2024 01:12:57 GMT",6973998,8.31,金埔园林,301098-SZE,2024-09-30,CNY,SZE,8.22,11.9255,60505526.49,0.96
40.72,41.21,"Sun, 06 Oct 2024 01:12:57 GMT",10252045,36.3,雅创电子,301099-SZE,2024-09-30,CNY,SZE,35.6,15.6818,389359086.93,5.52
15.36,15.62,"Sun, 06 Oct 2024 01:12:57 GMT",5019682,14.25,风光股份,301100-SZE,2024-09-30,CNY,SZE,13.7,13.7778,73837521.98,1.86
27.55,28.16,"Sun, 06 Oct 2024 01:12:57 GMT",14598337,25.36,明月镜片,301101-SZE,2024-09-30,CNY,SZE,24.2,15.0794,380739714.7,3.61
11.0,11.26,"Sun, 06 Oct 2024 01:12:57 GMT",22013740,9.85,兆讯传媒,301102-SZE,2024-09-30,CNY,SZE,9.55,14.9425,225638299.3,1.43
23.8,24.17,"Sun, 06 Oct 2024 01:12:57 GMT",4814860,22.2,何氏眼科,301103-SZE,2024-09-30,CNY,SZE,21.33,14.2583,109829458.27,2.97
28.31,29.0,"Sun, 06 Oct 2024 01:12:57 GMT",1374220,25.88,鸿铭股份,301105-SZE,2024-09-30,CNY,SZE,25.04,13.1043,37401365.68,3.28
33.85,34.48,"Sun, 06 Oct 2024 01:12:57 GMT",6897486,31.11,骏成科技,301106-SZE,2024-09-30,CNY,SZE,30.0,13.1729,220544205.93,3.94
26.26,26.88,"Sun, 06 Oct 2024 01:12:57 GMT",2123492,24.5,瑜欣电子,301107-SZE,2024-09-30,CNY,SZE,23.82,11.6022,53868926.6,2.73
26.62,27.14,"Sun, 06 Oct 2024 01:12:57 GMT",2095133,24.43,洁雅股份,301108-SZE,2024-09-30,CNY,SZE,24.35,12.226,53425740.79,2.9
16.88,17.2,"Sun, 06 Oct 2024 01:12:57 GMT",10761446,15.79,军信股份,301109-SZE,2024-09-30,CNY,SZE,15.34,11.4927,174856564.46,1.74
33.85,34.24,"Sun, 06 Oct 2024 01:12:57 GMT",3616920,30.98,青木科技,301110-SZE,2024-09-30,CNY,SZE,30.5,14.0115,116882241.16,4.16
16.99,17.28,"Sun, 06 Oct 2024 01:12:57 GMT",8170460,15.47,粤万年青,301111-SZE,2024-09-30,CNY,SZE,15.12,14.4108,132402104.48,2.14
23.88,24.72,"Sun, 06 Oct 2024 01:12:57 GMT",7054440,21.8,信邦智能,301112-SZE,2024-09-30,CNY,SZE,21.01,14.9182,159392857.72,3.1
23.99,24.49,"Sun, 06 Oct 2024 01:12:57 GMT",1796976,21.88,雅艺科技,301113-SZE,2024-09-30,CNY,SZE,21.34,13.589,41242671.0,2.87
15.28,15.52,"Sun, 06 Oct 2024 01:12:57 GMT",13749131,14.2,建科股份,301115-SZE,2024-09-30,CNY,SZE,13.71,12.7675,200181581.92,1.73
12.32,12.47,"Sun, 06 Oct 2024 01:12:57 GMT",12660637,11.6,益客食品,301116-SZE,2024-09-30,CNY,SZE,11.02,11.4932,150025221.9,1.27
33.81,33.81,"Sun, 06 Oct 2024 01:12:57 GMT",10113587,29.28,佳缘科技,301117-SZE,2024-09-30,CNY,SZE,29.02,19.8936,315561096.39,5.61
18.34,18.57,"Sun, 06 Oct 2024 01:12:57 GMT",6322844,16.8,恒光股份,301118-SZE,2024-09-30,CNY,SZE,16.28,13.5604,110498607.48,2.19
21.2,21.8,"Sun, 06 Oct 2024 01:12:57 GMT",6181340,19.3,正强股份,301119-SZE,2024-09-30,CNY,SZE,19.06,12.2287,125428216.97,2.31
9.65,9.84,"Sun, 06 Oct 2024 01:12:57 GMT",15187100,8.96,新特电气,301120-SZE,2024-09-30,CNY,SZE,8.65,13.5294,140805554.74,1.15
41.82,42.79,"Sun, 06 Oct 2024 01:12:57 GMT",5632815,37.59,紫建电子,301121-SZE,2024-09-30,CNY,SZE,36.21,15.9412,223498298.8,5.75
19.98,20.2,"Sun, 06 Oct 2024 01:12:57 GMT",7273840,17.99,采纳股份,301122-SZE,2024-09-30,CNY,SZE,17.64,14.6958,136728077.8,2.56
19.55,19.85,"Sun, 06 Oct 2024 01:12:57 GMT",12130782,17.7,奕东电子,301123-SZE,2024-09-30,CNY,SZE,17.55,14.73,225759370.53,2.51
10.35,10.53,"Sun, 06 Oct 2024 01:12:57 GMT",9356142,9.6,腾亚精工,301125-SZE,2024-09-30,CNY,SZE,9.29,12.3779,93226936.38,1.14
11.2,11.5,"Sun, 06 Oct 2024 01:12:57 GMT",17249838,10.46,达嘉维康,301126-SZE,2024-09-30,CNY,SZE,10.06,12.5628,184517474.69,1.25
9.54,9.68,"Sun, 06 Oct 2024 01:12:57 GMT",28708498,8.8,天源环保,301127-SZE,2024-09-30,CNY,SZE,8.58,11.7096,261734793.11,1.0
52.5,53.52,"Sun, 06 Oct 2024 01:12:57 GMT",7833019,46.84,强瑞技术,301128-SZE,2024-09-30,CNY,SZE,46.84,14.6038,390219124.8,6.69
23.14,23.5,"Sun, 06 Oct 2024 01:12:57 GMT",9209705,20.8,瑞纳智能,301129-SZE,2024-09-30,CNY,SZE,20.5,14.7248,202182182.1,2.97
27.42,28.1,"Sun, 06 Oct 2024 01:12:57 GMT",2806288,25.4,西点药业,301130-SZE,2024-09-30,CNY,SZE,24.9,11.5541,74305755.92,2.84
35.24,36.0,"Sun, 06 Oct 2024 01:12:57 GMT",3256613,32.34,聚赛龙,301131-SZE,2024-09-30,CNY,SZE,31.58,13.0574,109804980.61,4.07
28.95,29.46,"Sun, 06 Oct 2024 01:12:57 GMT",13107478,25.81,满坤科技,301132-SZE,2024-09-30,CNY,SZE,25.65,15.4767,358129708.02,3.88
